date,revenue,costOfRevenue,sellingGeneralAndAdministrativeExpenses,grossProfit,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome
2023-06-11,22918889281.467937,10748698106.606762,9214194408.53928,12170191174.861176,2955996766.3218956,-139000000,2816996766.3218956,671017482.7552203,2145979283.5666752
2023-09-03,24038515693.880753,11292516245.206676,9700004172.770346,12745999448.674076,3045995275.9037304,-139000000,2906995275.9037304,692455410.5772586,2214539865.326472
2023-12-31,26914554981.145874,12689448574.06287,10947927544.865993,14225106407.083004,3277178862.2170105,-139000000,3138178862.2170105,747524067.3811532,2390654794.8358574
2024-03-24,18989487289.965538,8840132844.891819,7509213323.869207,10149354445.073719,2640141121.2045116,-139000000,2501141121.2045116,595779675.4440583,1905361445.7604532
2024-06-10,24595457185.614395,11563030482.8004,9941663008.06572,13032426702.813995,3090763694.7482758,-139000000,2951763694.7482758,703119388.6404005,2248644306.1078753
2024-09-02,25741110989.10347,12119490487.661041,10438766147.106567,13621620501.442429,3182854354.335861,-139000000,3043854354.335861,725055673.1688395,2318798681.1670218
2024-12-30,28000651860.591686,13216980951.623127,11419188729.03063,14783670908.96856,3364482179.937929,-139000000,3225482179.937929,768319992.0317022,2457162187.906227
2025-03-24,20210121882.769264,9433012063.182747,8038850886.156029,10777109819.586517,2738258933.4304886,-139000000,2599258933.4304886,619151646.6725837,1980107286.757905
