date,period,cashAndCashEquivalents,revenue,netReceivables,inventory,otherCurrentAssets,propertyPlantEquipmentNet,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalCurrentAssets,totalNonCurrentAssets,totalAssets,accountPayables,shortTermDebt,totalCurrentLiabilities,longTermDebt,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,totalLiabilities,preferredStock,commonStock,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,dividendsPaid,delta_RE,retainedEarnings,totalEquity,totalLiabilitiesAndStockholdersEquity
2023-06-11,Q2,4770000000,20899632417.582417,10503925837.470215,5211439687.327737,4770000000,20692283964.969193,33612000000,3098573575.180541,4211000000,4969615173.445836,25255365524.79795,66583472713.59557,91838838238.39352,21422665358.950558,4281000000,25703665358.950558,37486000000,4039000000,8505000000,50030000000,75733665358.95056,0,23000000,-15601000000,-36248286414.22603,-1592740108.9911518,429589514.4963999,68571589514.4964,16745303100.27037,92478968459.22093
2023-09-03,Q3,4770000000,22980538736.263737,11145434618.804985,4940193556.012945,4770000000,21852445407.574066,33612000000,3128899056.1134024,4211000000,5148707018.997456,25625628174.817932,67953051482.68492,93578679657.50285,21763801544.739655,4281000000,26044801544.739655,37486000000,4039000000,8505000000,50030000000,76074801544.73965,0,23000000,-15601000000,-36531249870.690315,-1610614160.2654433,539140241.8935714,68681140241.89357,16571890371.203255,92646691915.9429
2023-12-31,Q4,4770000000,29655215232.544975,10588353641.075624,5096046013.310167,4770000000,25573757723.90828,33612000000,3171860154.1016226,4211000000,5402420466.862249,25224399654.38579,71971038344.87215,97195437999.25793,22247077807.940872,4281000000,26528077807.940872,37486000000,4039000000,8505000000,50030000000,76558077807.94087,0,23000000,-15601000000,-36932114767.348045,-1635935732.904023,922544024.9361823,69064544024.93619,16554429257.588142,93112507065.52902
2024-03-24,Q1,4770000000,18808649354.938828,10997547837.104074,5557268596.903465,4770000000,19526504465.60363,33612000000,3202185635.0344834,4211000000,5581512312.41387,26094816434.007538,66133202413.05199,92228018847.05952,22588213993.72997,4281000000,26869213993.72997,37486000000,4039000000,8505000000,50030000000,76899213993.72997,0,23000000,-15601000000,-37215078223.81233,-1653809784.1783144,240478008.89565682,68382478008.89566,15589399785.083328,92488613778.8133
2024-06-10,Q2,4770000000,22006464835.164837,11080425104.155159,5483681314.8053665,4770000000,21309372914.517868,33612000000,3230345010.186426,4211000000,5747811883.28323,26104106418.960526,68110529807.98752,94214636226.94804,22904983309.105556,4281000000,27185983309.105556,37486000000,4039000000,8505000000,50030000000,77215983309.10556,0,23000000,-15601000000,-37477830004.81488,-1670407117.5044422,419699644.51677537,68561699644.51678,15505869639.701897,92721852948.80746
2024-09-02,Q3,4770000000,24381677472.527473,11824983767.149704,5228777989.260277,4770000000,22633618074.003098,33612000000,3260670491.1192875,4211000000,5926903728.83485,26593761756.40998,69644192293.95723,96237954050.36722,23246119494.894653,4281000000,27527119494.894653,37486000000,4039000000,8505000000,50030000000,77557119494.89465,0,23000000,-15601000000,-37760793461.27917,-1688281168.7787337,547272287.2605939,68689272287.2606,15350478825.98143,92907598320.87608
2024-12-30,Q4,4770000000,31809006020.710747,11368970505.914925,5467832839.295432,4770000000,26774554225.622475,33612000000,3303631589.1075077,4211000000,6180617176.699644,26376803345.210358,74081802991.42963,100458606336.63998,23729395758.09587,4281000000,28010395758.09587,37486000000,4039000000,8505000000,50030000000,78040395758.09587,0,23000000,-15601000000,-38161658357.9369,-1713602741.4173133,976764892.4040577,69118764892.40405,15379106534.467155,93419502292.56302
