date,revenue,period,costOfRevenue,sellingGeneralAndAdministrativeExpenses,grossProfit,operatingIncome,otherIncome,interestExpense,depreciationAndAmortization,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome
2023-06-11,20899632417.582417,Q2,9767916930.940426,8338031886.74581,11131715486.64199,2793683599.896181,828000000,200000000,767000000,-139000000,2654683599.896181,632353976.4086295,2022329623.4875517
2023-09-03,22980538736.263737,Q3,10778642105.230824,9240944319.73044,12201896631.032913,2960952311.302473,828000000,200000000,767000000,-139000000,2821952311.302473,672197909.1434582,2149754402.1590147
2023-12-31,29655215232.544975,Q4,14020625420.131325,12137109486.099747,15634589812.41365,3497480326.313904,828000000,200000000,767000000,-139000000,3358480326.313904,800000568.4736984,2558479757.840205
2024-03-24,18808649354.938828,Q1,8752297341.795258,7430747119.780618,10056352013.14357,2625604893.362952,828000000,200000000,767000000,-139000000,2486604893.362952,592317100.2889808,1894287793.0739713
2024-06-10,22006464835.164837,Q2,10305520848.102913,8818290292.46727,11700943987.061924,2882653694.594654,828000000,200000000,767000000,-139000000,2743653694.594654,653546932.5734365,2090106762.0212176
2024-09-02,24381677472.527473,Q3,11459194699.406528,9848903252.793129,12922482773.120945,3073579520.327816,828000000,200000000,767000000,-139000000,2934579520.327816,699026064.2884883,2235553456.0393276
2024-12-30,31809006020.710747,Q4,15066751596.120544,13071646741.921526,16742254424.590202,3670607682.6686764,828000000,200000000,767000000,-139000000,3531607682.6686764,841240048.847305,2690367633.821371
