date,cashAndCashEquivalents,revenue,netReceivables,inventory,otherCurrentAssets,propertyPlantEquipmentNet,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalCurrentAssets,totalNonCurrentAssets,totalAssets,accountPayables,shortTermDebt,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,totalLiabilities,preferredStock,commonStock,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,dividendsPaid,delta_RE,retainedEarnings,totalEquity,totalLiabilitiesAndStockholdersEquity,DFN
2023-06-11,4770000000,20899632417.582417,10503925837.470215,5211439687.327737,4770000000,20692283964.969193,33612000000,3098573575.180541,4211000000,4969615173.445836,25255365524.79795,66583472713.59557,91838838238.39352,21422665358.950558,4281000000,21556000000,47259665358.95056,62776348749,0,4039000000,8505000000,50030000000,75320348749.0,0,23000000,-15601000000,-36248286414.22603,-1592740108.9911518,202775903.57687926,68344775903.57688,16518489489.350853,91838838238.35086,0.04266357421875
2023-09-03,4770000000,22980538736.263737,11145434618.804985,4940193556.012945,4770000000,21852445407.574066,33612000000,3128899056.1134024,4211000000,5148707018.997456,25625628174.817932,67953051482.68492,93578679657.50285,21763801544.739655,4281000000,21556000000,47600801544.739655,64701229293,0,4039000000,8505000000,50030000000,77245229293.0,0,23000000,-15601000000,-36531249870.690315,-1610614160.2654433,300700235.1267543,68442700235.126755,16333450364.43644,93578679657.43643,0.0664215087890625
2023-12-31,4770000000,29655215232.544975,10588353641.075624,5096046013.310167,4770000000,25573757723.90828,33612000000,3171860154.1016226,4211000000,5402420466.862249,25224399654.38579,71971038344.87215,97195437999.25793,22247077807.940872,4281000000,21556000000,48084077807.94087,68357533046,0,4039000000,8505000000,50030000000,80901533046.0,0,23000000,-15601000000,-36932114767.348045,-1635935732.904023,662019720.0112712,68804019720.01128,16293904952.66323,97195437998.66324,0.594696044921875
2024-03-24,4770000000,18808649354.938828,10997547837.104074,5557268596.903465,4770000000,19526504465.60363,33612000000,3202185635.0344834,4211000000,5581512312.41387,26094816434.007538,66133202413.05199,92228018847.05952,22588213993.72997,4281000000,21556000000,48425213993.729965,64330821784,0,4039000000,8505000000,50030000000,76874821784.0,0,23000000,-15601000000,-37215078223.81233,-1653809784.1783144,4275285.9909546375,68146275285.99095,15353197062.17862,92228018846.17862,0.8809051513671875
2024-06-10,4770000000,22006464835.164837,11080425104.155159,5483681314.8053665,4770000000,21309372914.517868,33612000000,3230345010.186426,4211000000,5747811883.28323,26104106418.960526,68110529807.98752,94214636226.94804,22904983309.105556,4281000000,21556000000,48741983309.10556,66413549110,0,4039000000,8505000000,50030000000,78957549110.0,0,23000000,-15601000000,-37477830004.81488,-1670407117.5044422,170917121.76194644,68312917121.76195,15257087116.947067,94214636226.94707,0.0009765625
2024-09-02,4770000000,24381677472.527473,11824983767.149704,5228777989.260277,4770000000,22633618074.003098,33612000000,3260670491.1192875,4211000000,5926903728.83485,26593761756.40998,69644192293.95723,96237954050.36722,23246119494.894653,4281000000,21556000000,49083119494.89465,68605497247,0,4039000000,8505000000,50030000000,81149497247.0,0,23000000,-15601000000,-37760793461.27917,-1688281168.7787337,285250263.81316686,68427250263.81316,15088456802.533997,96237954049.534,0.833221435546875
2024-12-30,4770000000,31809006020.710747,11368970505.914925,5467832839.295432,4770000000,26774554225.622475,33612000000,3303631589.1075077,4211000000,6180617176.699644,26376803345.210358,74081802991.42963,100458606336.63998,23729395758.09587,4281000000,21556000000,49566395758.09587,72822995774,0,4039000000,8505000000,50030000000,85366995774.0,0,23000000,-15601000000,-38161658357.9369,-1713602741.4173133,689268919.8775938,68831268919.8776,15091610561.940697,100458606335.9407,0.69927978515625
